,HC_ID,GEOID,dist,trvl_time
156892,H100,48251131000,0,-999.0
156896,H100,48439110703,0,-999.0
156906,H100,48183010400,0,-999.0
156919,H100,48183010600,0,-999.0
156920,H100,48183010200,0,-999.0
156971,H100,48439106510,0,-999.0
156975,H100,48397040401,0,-999.0
156976,H100,48041000102,0,-999.0
156977,H100,48041000103,0,-999.0
156993,H100,48251130215,0,-999.0
157004,H100,48425000200,0,-999.0
157005,H100,48425000100,0,-999.0
157007,H100,48439113906,0,-999.0
157008,H100,48439113910,0,-999.0
157009,H100,48041001900,0,-999.0
157010,H100,48041000202,0,-999.0
157011,H100,48439114003,0,-999.0
157029,H100,48439114005,0,-999.0
157032,H100,48439114006,0,-999.0
157033,H100,48231961501,0,-999.0
157047,H100,48497150101,0,-999.0
157048,H100,48497150402,0,-999.0
157049,H100,48497150601,0,-999.0
157050,H100,48497150200,0,-999.0
157051,H100,48497150603,0,-999.0
157052,H100,48497150602,0,-999.0
157053,H100,48497150102,0,-999.0
157054,H100,48497150403,0,-999.0
157057,H100,48367140706,0,-999.0
157058,H100,48367140408,0,-999.0
157059,H100,48367140102,0,-999.0
157060,H100,48367140409,0,-999.0
157061,H100,48367140703,0,-999.0
157062,H100,48367140101,0,-999.0
157063,H100,48439113611,0,-999.0
157109,H100,48499950500,0,-999.0
157110,H100,48499950100,0,-999.0
157111,H100,48331950402,0,-999.0
157118,H100,48499950800,0,-999.0
157119,H100,48499950400,0,-999.0
157120,H100,48499950700,0,-999.0
157121,H100,48499950200,0,-999.0
157135,H100,48027980003,0,-999.0
157136,H100,48027023403,0,-999.0
157137,H100,48027023404,0,-999.0
157138,H100,48027021903,0,-999.0
157139,H100,48027023204,0,-999.0
157141,H100,48121020800,0,-999.0
157142,H100,48121020401,0,-999.0
157143,H100,48121020202,0,-999.0
157144,H100,48121020303,0,-999.0
157145,H100,48121021403,0,-999.0
157147,H100,48121020305,0,-999.0
157148,H100,48121020402,0,-999.0
157149,H100,48121020403,0,-999.0
157150,H100,48121020602,0,-999.0
157155,H100,48121020700,0,-999.0
157156,H100,48121020900,0,-999.0
157157,H100,48121021000,0,-999.0
157158,H100,48121021100,0,-999.0
157159,H100,48121021301,0,-999.0
157162,H100,48439106600,0,-999.0
157163,H100,48121021502,0,-999.0
157164,H100,48121021505,0,-999.0
157165,H100,48121021409,0,-999.0
157167,H100,48121020306,0,-999.0
157173,H100,48397040505,0,-999.0
157175,H100,48051970200,0,-999.0
157176,H100,48051970100,0,-999.0
157189,H100,48231960800,0,-999.0
157190,H100,48231961100,0,-999.0
157191,H100,48231961400,0,-999.0
157192,H100,48231961600,0,-999.0
157193,H100,48231960300,0,-999.0
157194,H100,48231960900,0,-999.0
157195,H100,48439102201,0,-999.0
157197,H100,48085030512,0,-999.0
157202,H100,48085030100,0,-999.0
157203,H100,48085031001,0,-999.0
157204,H100,48097000700,0,-999.0
157205,H100,48097000900,0,-999.0
157214,H100,48313000300,0,-999.0
157215,H100,48313000100,0,-999.0
157216,H100,48313000200,0,-999.0
157217,H100,48313000400,0,-999.0
157218,H100,48439102000,0,-999.0
157219,H100,48439102100,0,-999.0
157220,H100,48439102202,0,-999.0
157221,H100,48309004000,0,-999.0
157224,H100,48223950500,0,-999.0
157225,H100,48223950800,0,-999.0
157226,H100,48223950100,0,-999.0
157227,H100,48223950600,0,-999.0
157228,H100,48223950700,0,-999.0
157229,H100,48223950200,0,-999.0
157230,H100,48223950300,0,-999.0
157231,H100,48193950100,0,-999.0
157232,H100,48193950300,0,-999.0
157233,H100,48193950200,0,-999.0
157234,H100,48085030515,0,-999.0
157235,H100,48085030530,0,-999.0
157237,H100,48085030506,0,-999.0
157238,H100,48085031662,0,-999.0
157239,H100,48119950200,0,-999.0
157240,H100,48119950100,0,-999.0
157241,H100,48085030405,0,-999.0
