"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"4844","524","1400000US48001950100","Census Tract 9501, Anderson County, Texas"
"4838","235","1400000US48001950401","Census Tract 9504.01, Anderson County, Texas"
"7511","398","1400000US48001950402","Census Tract 9504.02, Anderson County, Texas"
"4465","495","1400000US48001950500","Census Tract 9505, Anderson County, Texas"
"5148","726","1400000US48001950600","Census Tract 9506, Anderson County, Texas"
"2783","369","1400000US48001950700","Census Tract 9507, Anderson County, Texas"
"5505","515","1400000US48001950800","Census Tract 9508, Anderson County, Texas"
"6501","737","1400000US48001950901","Census Tract 9509.01, Anderson County, Texas"
"4501","701","1400000US48001950902","Census Tract 9509.02, Anderson County, Texas"
"7276","716","1400000US48001951000","Census Tract 9510, Anderson County, Texas"
"4438","577","1400000US48001951100","Census Tract 9511, Anderson County, Texas"
"2305","233","1400000US48003950100","Census Tract 9501, Andrews County, Texas"
"7465","582","1400000US48003950200","Census Tract 9502, Andrews County, Texas"
"4889","525","1400000US48003950300","Census Tract 9503, Andrews County, Texas"
"3377","239","1400000US48003950400","Census Tract 9504, Andrews County, Texas"
"6346","500","1400000US48005000101","Census Tract 1.01, Angelina County, Texas"
"4761","392","1400000US48005000102","Census Tract 1.02, Angelina County, Texas"
"6677","805","1400000US48005000200","Census Tract 2, Angelina County, Texas"
"5288","581","1400000US48005000301","Census Tract 3.01, Angelina County, Texas"
"5218","419","1400000US48005000302","Census Tract 3.02, Angelina County, Texas"
"4938","567","1400000US48005000400","Census Tract 4, Angelina County, Texas"
"3973","441","1400000US48005000500","Census Tract 5, Angelina County, Texas"
"6674","637","1400000US48005000600","Census Tract 6, Angelina County, Texas"
"3834","521","1400000US48005000700","Census Tract 7, Angelina County, Texas"
"5933","536","1400000US48005000800","Census Tract 8, Angelina County, Texas"
"6377","637","1400000US48005000901","Census Tract 9.01, Angelina County, Texas"
"3704","372","1400000US48005000902","Census Tract 9.02, Angelina County, Texas"
"4886","377","1400000US48005001001","Census Tract 10.01, Angelina County, Texas"
"4031","446","1400000US48005001002","Census Tract 10.02, Angelina County, Texas"
"6716","430","1400000US48005001100","Census Tract 11, Angelina County, Texas"
"2400","354","1400000US48005001200","Census Tract 12, Angelina County, Texas"
"5566","622","1400000US48005001300","Census Tract 13, Angelina County, Texas"
"5333","761","1400000US48007950100","Census Tract 9501, Aransas County, Texas"
"1085","195","1400000US48007950200","Census Tract 9502, Aransas County, Texas"
"7598","694","1400000US48007950300","Census Tract 9503, Aransas County, Texas"
"4573","699","1400000US48007950400","Census Tract 9504, Aransas County, Texas"
"5873","874","1400000US48007950500","Census Tract 9505, Aransas County, Texas"
"0","14","1400000US48007990000","Census Tract 9900, Aransas County, Texas"
"2939","174","1400000US48009020100","Census Tract 201, Archer County, Texas"
"2323","203","1400000US48009020200","Census Tract 202, Archer County, Texas"
"3454","191","1400000US48009020300","Census Tract 203, Archer County, Texas"
"1973","102","1400000US48011950100","Census Tract 9501, Armstrong County, Texas"
"7213","683","1400000US48013960100","Census Tract 9601, Atascosa County, Texas"
"7326","689","1400000US48013960201","Census Tract 9602.01, Atascosa County, Texas"
"11041","951","1400000US48013960202","Census Tract 9602.02, Atascosa County, Texas"
"3707","166","1400000US48013960300","Census Tract 9603, Atascosa County, Texas"
"2450","320","1400000US48013960401","Census Tract 9604.01, Atascosa County, Texas"
"9104","606","1400000US48013960402","Census Tract 9604.02, Atascosa County, Texas"
"2545","402","1400000US48013960500","Census Tract 9605, Atascosa County, Texas"
"6142","524","1400000US48013960600","Census Tract 9606, Atascosa County, Texas"
"2781","358","1400000US48015760100","Census Tract 7601, Austin County, Texas"
"5876","432","1400000US48015760200","Census Tract 7602, Austin County, Texas"
"6777","553","1400000US48015760300","Census Tract 7603, Austin County, Texas"
"4009","375","1400000US48015760400","Census Tract 7604, Austin County, Texas"
"4894","369","1400000US48015760501","Census Tract 7605.01, Austin County, Texas"
"5427","611","1400000US48015760502","Census Tract 7605.02, Austin County, Texas"
"7100","*****","1400000US48017950100","Census Tract 9501, Bailey County, Texas"
"4393","514","1400000US48019000101","Census Tract 1.01, Bandera County, Texas"
"5955","667","1400000US48019000102","Census Tract 1.02, Bandera County, Texas"
"2825","489","1400000US48019000200","Census Tract 2, Bandera County, Texas"
"6774","551","1400000US48019000300","Census Tract 3, Bandera County, Texas"
"2268","417","1400000US48019000400","Census Tract 4, Bandera County, Texas"
"8298","936","1400000US48021950100","Census Tract 9501, Bastrop County, Texas"
"9373","448","1400000US48021950200","Census Tract 9502, Bastrop County, Texas"
"16034","1481","1400000US48021950300","Census Tract 9503, Bastrop County, Texas"
"9375","820","1400000US48021950400","Census Tract 9504, Bastrop County, Texas"
"8588","848","1400000US48021950501","Census Tract 9505.01, Bastrop County, Texas"
"6386","567","1400000US48021950502","Census Tract 9505.02, Bastrop County, Texas"
"5500","681","1400000US48021950600","Census Tract 9506, Bastrop County, Texas"
"4579","398","1400000US48021950700","Census Tract 9507, Bastrop County, Texas"
"8014","1131","1400000US48021950801","Census Tract 9508.01, Bastrop County, Texas"
"8375","755","1400000US48021950802","Census Tract 9508.02, Bastrop County, Texas"
"3577","*****","1400000US48023950300","Census Tract 9503, Baylor County, Texas"
"1819","272","1400000US48025950100","Census Tract 9501, Bee County, Texas"
"8417","430","1400000US48025950201","Census Tract 9502.01, Bee County, Texas"
"5709","647","1400000US48025950202","Census Tract 9502.02, Bee County, Texas"
"5720","557","1400000US48025950300","Census Tract 9503, Bee County, Texas"
"2189","346","1400000US48025950400","Census Tract 9504, Bee County, Texas"
"6215","576","1400000US48025950500","Census Tract 9505, Bee County, Texas"
"2542","355","1400000US48025950600","Census Tract 9506, Bee County, Texas"
"7644","465","1400000US48027020100","Census Tract 201, Bell County, Texas"
"8745","621","1400000US48027020201","Census Tract 202.01, Bell County, Texas"
"7320","644","1400000US48027020202","Census Tract 202.02, Bell County, Texas"
