,GEOID,coefs,pvals,notes
0,48001,,,no access
1,48003,,,no access
2,48005,,,no access
3,48007,,,no access
4,48009,,,no access
5,48011,,,no access
6,48013,,,no access
7,48015,,,no access
8,48017,,,no access
9,48019,,,no access
10,48021,-0.08292167145294908,0.004650052150193855,significant
11,48023,,,no access
12,48025,,,no access
13,48027,0.23184111006790412,5.1408854781983e-16,significant
14,48029,-0.033082686936089886,0.24648946713251796,not significant
15,48031,,,no access
16,48033,,,no access
17,48035,,,no access
18,48037,0.08699267971745876,0.002457121247987242,significant
19,48039,0.005952163710723779,0.8348789579168849,not significant
20,48041,-0.16153485916336868,1.8426690580185356e-08,significant
21,48043,,,no access
22,48045,,,no access
23,48047,,,no access
24,48049,,,no access
25,48051,-0.3486223179576119,1.1202682749412047e-28,significant
26,48053,-0.30518993991648713,2.22874281890006e-24,significant
27,48055,-0.2812037300475783,8.192501424998753e-21,significant
28,48057,,,no access
29,48059,,,no access
30,48061,-0.19799801482054843,4.045563870308508e-12,significant
31,48063,,,no access
32,48065,,,no access
33,48067,,,no access
34,48069,,,no access
35,48071,,,no access
36,48073,,,no access
37,48075,,,no access
38,48077,,,no access
39,48079,,,no access
40,48081,,,no access
41,48083,,,no access
42,48085,0.04987932479882853,0.0805973892607178,not significant
43,48087,,,no access
44,48089,,,no access
45,48091,-0.26480857608806146,2.4625486742730435e-20,significant
46,48093,,,no access
47,48095,,,no access
48,48097,,,no access
49,48099,-0.2721419252383646,1.3526461785157373e-19,significant
50,48101,,,no access
51,48103,,,no access
52,48105,,,no access
53,48107,,,no access
54,48109,,,no access
55,48111,,,no access
56,48113,-0.04720085628949679,0.0982087757370261,not significant
57,48115,,,no access
58,48117,,,no access
59,48119,,,no access
60,48121,-0.007360739581185482,0.7965439812518131,not significant
61,48123,,,no access
62,48125,,,no access
63,48127,,,no access
64,48129,,,no access
65,48131,,,no access
66,48133,,,no access
67,48135,-0.145275377276148,3.9593751334437264e-07,significant
68,48137,,,no access
69,48139,,,no access
70,48141,-0.06395942124288251,0.025042636741598335,significant
71,48143,,,no access
72,48145,,,no access
73,48147,,,no access
74,48149,,,no access
75,48151,,,no access
76,48153,,,no access
77,48155,,,no access
78,48157,0.02276580639292497,0.4251865260450347,not significant
79,48159,,,no access
80,48161,-0.27120262550428814,1.7041966537983544e-18,significant
81,48163,-0.307789254236844,1.6975070913576654e-23,significant
82,48165,,,no access
83,48167,0.008278779045749897,0.7718445149521806,not significant
84,48169,,,no access
85,48171,,,no access
86,48173,,,no access
87,48175,,,no access
88,48177,,,no access
89,48179,,,no access
90,48181,,,no access
91,48183,-0.23889537845628528,1.361456271668675e-16,significant
92,48185,-0.16384664010674121,6.986572681013882e-08,significant
93,48187,-0.13245675438898694,4.972164627807073e-06,significant
94,48189,,,no access
95,48191,,,no access
96,48193,,,no access
97,48195,,,no access
98,48197,,,no access
99,48199,,,no access
100,48201,0.045930018051205106,0.10759104435199349,not significant
101,48203,,,no access
102,48205,,,no access
103,48207,,,no access
104,48209,-0.06222981217722979,0.029711815461740964,significant
105,48211,,,no access
106,48213,-0.12635264923142134,1.2422518179110156e-05,significant
107,48215,0.12128042368769115,2.153412883337126e-05,significant
108,48217,-0.32574262479469857,4.491849462218287e-28,significant
109,48219,,,no access
110,48221,0.04031343483551443,0.16204522538479693,not significant
111,48223,-0.13659485766522006,4.575052433883276e-06,significant
112,48225,,,no access
113,48227,,,no access
114,48229,,,no access
115,48231,,,no access
116,48233,,,no access
117,48235,,,no access
118,48237,,,no access
119,48239,,,no access
120,48241,,,no access
121,48243,,,no access
122,48245,-0.0008394311437188345,0.9765860281359688,not significant
123,48247,,,no access
124,48249,,,no access
125,48251,-0.04209776011936048,0.14161656900670178,not significant
126,48253,-0.40499081636018863,2.5886652419846173e-38,significant
127,48255,,,no access
128,48257,0.026295053199114807,0.3584470162388259,not significant
129,48259,,,no access
130,48261,,,no access
131,48263,,,no access
132,48265,-0.1255955822096851,2.71897878257158e-05,significant
133,48267,,,no access
134,48269,,,no access
135,48271,,,no access
136,48273,,,no access
137,48275,,,no access
138,48277,,,no access
139,48279,,,no access
140,48281,,,no access
141,48283,,,no access
142,48285,,,no access
143,48287,,,no access
144,48289,,,no access
145,48291,-0.06633771082321371,0.020989966354628638,significant
